,ID,Is_It_Dog?,Type_of_Object,Hour,Num_of_Retweet,Num_of_Favorite
1285,750719632563142656,1,0,15.0,5747.0,14621.0
1286,750868782890057730,1,3,1.0,1595.0,5306.0
1287,751132876104687617,1,4,19.0,1480.0,5610.0
1288,751205363882532864,1,0,0.0,2086.0,6948.0
1289,751251247299190784,1,0,3.0,6695.0,13791.0
1290,751456908746354688,1,3,16.0,1127.0,3516.0
1291,751538714308972544,1,0,22.0,1445.0,5547.0
1292,751583847268179968,1,5,1.0,1265.0,4849.0
1293,751598357617971201,1,0,2.0,3440.0,8699.0
1294,751830394383790080,1,0,17.0,2227.0,6428.0
1295,751937170840121344,1,0,0.0,1530.0,5770.0
1296,752173152931807232,1,0,16.0,2106.0,6569.0
1297,752309394570878976,0,,9.720160481444333,2766.753259779338,8895.725677031094
1298,752334515931054080,1,1,2.0,1263.0,4238.0
1299,752519690950500352,0,4,15.0,3917.0,8157.0
1300,752660715232722944,0,1,0.0,1794.0,4878.0
1301,752682090207055872,1,1,1.0,1846.0,6642.0
1302,752917284578922496,1,0,17.0,1790.0,7592.0
1303,753026973505581056,1,0,0.0,1109.0,4283.0
1304,753294487569522689,1,0,18.0,1191.0,3758.0
1305,753375668877008896,1,0,23.0,2655.0,8411.0
1306,753398408988139520,1,0,1.0,2186.0,6384.0
1307,753420520834629632,0,0,2.0,4071.0,8731.0
1308,753655901052166144,1,0,18.0,2492.0,6458.0
1309,754011816964026368,1,0,17.0,4079.0,9726.0
1310,754120377874386944,1,0,1.0,2670.0,8655.0
1311,754449512966619136,1,0,22.0,846.0,4147.0
1312,754482103782404096,0,0,1.0,2220.0,5852.0
1313,754747087846248448,0,0,18.0,591.0,2854.0
1314,754856583969079297,1,0,1.0,2870.0,7616.0
1315,754874841593970688,1,,9.720160481444333,2766.753259779338,8895.725677031094
1316,755110668769038337,1,0,18.0,12621.0,23446.0
1317,755206590534418437,0,1,1.0,6148.0,18212.0
1318,755955933503782912,1,3,2.0,3285.0,8092.0
1319,756275833623502848,1,4,23.0,1738.0,7114.0
1320,756288534030475264,0,0,0.0,15071.0,28519.0
1321,756303284449767430,1,0,1.0,1231.0,4359.0
1322,756526248105566208,0,1,16.0,4169.0,11506.0
1323,756651752796094464,1,0,0.0,1511.0,5612.0
1324,756939218950160384,1,3,19.0,2295.0,7342.0
1325,756998049151549440,1,0,23.0,2271.0,6923.0
1326,757354760399941633,1,0,23.0,1637.0,4995.0
1327,757393109802180609,1,1,1.0,2009.0,6462.0
1328,757400162377592832,0,0,2.0,7759.0,16743.0
1329,757596066325864448,0,0,15.0,1219.0,4808.0
1330,757597904299253760,0,,9.720160481444333,2766.753259779338,8895.725677031094
1331,757611664640446465,1,0,16.0,1272.0,5026.0
1332,757725642876129280,0,0,23.0,1391.0,5022.0
1333,757729163776290825,0,,9.720160481444333,2766.753259779338,8895.725677031094
1334,757741869644341248,0,0,0.0,3710.0,7613.0
1335,758041019896193024,0,0,20.0,433.0,3001.0
1336,758355060040593408,1,0,17.0,1245.0,3797.0
1337,758405701903519748,1,0,20.0,2204.0,5756.0
1338,758467244762497024,1,0,1.0,2539.0,5316.0
1339,758474966123810816,1,0,1.0,1132.0,4227.0
1340,758740312047005698,1,0,19.0,1824.0,6339.0
1341,758828659922702336,1,1,0.0,4376.0,12376.0
1342,758854675097526272,0,0,2.0,1027.0,3904.0
1343,759047813560868866,1,0,15.0,2302.0,7227.0
1344,759099523532779520,1,0,18.0,4813.0,16101.0
1345,759159934323924993,1,,9.720160481444333,2766.753259779338,8895.725677031094
1346,759197388317847553,1,0,1.0,2221.0,6725.0
1347,759447681597108224,1,0,17.0,2827.0,9418.0
1348,759557299618865152,1,0,1.0,1341.0,5202.0
1349,759566828574212096,1,,9.720160481444333,2766.753259779338,8895.725677031094
1350,759793422261743616,1,5,16.0,2173.0,6620.0
1351,759846353224826880,1,0,20.0,2265.0,7433.0
1352,759923798737051648,1,0,1.0,6521.0,16284.0
1353,760190180481531904,0,0,19.0,2079.0,6334.0
1354,760252756032651264,0,0,23.0,995.0,4338.0
1355,760290219849637889,1,0,1.0,13140.0,29618.0
1356,760539183865880579,1,0,18.0,4168.0,8399.0
1357,760641137271070720,0,0,0.0,1481.0,5485.0
1358,760656994973933572,1,0,2.0,2210.0,7343.0
1359,760893934457552897,1,1,17.0,1104.0,4228.0
1360,761004547850530816,1,0,1.0,3952.0,12482.0
1361,761227390836215808,0,0,15.0,1775.0,5908.0
1362,761292947749015552,1,0,20.0,1265.0,4957.0
1363,761334018830917632,1,0,22.0,1669.0,5792.0
1364,761371037149827077,0,,9.720160481444333,2766.753259779338,8895.725677031094
1365,761599872357261312,1,0,16.0,1336.0,4578.0
1366,761672994376806400,0,0,21.0,33421.0,55016.0
1367,761745352076779520,0,0,2.0,979.0,4707.0
1368,761750502866649088,1,,9.720160481444333,2766.753259779338,8895.725677031094
1369,761976711479193600,1,0,17.0,2310.0,5992.0
